mode,io_threads,block_size,dataset_size,ranks,compute_time,read_size,raw_read_time,metadata_time,raw_read_rate,observed_read_rate
GPU,8,2097152,20GB,8,4s,"20.000 GB",12.140,0.280,"1.647 GB/s ","1.609 GB/s"
GPU,8,4194304,1GB,8,4s,"1.000 GB",1.946,0.040,"526.266 MB/s ","515.273 MB/s"
GPU,8,4194304,5GB,8,4s,"5.000 GB",3.880,0.160,"1.288 GB/s ","1.220 GB/s"
GPU,8,4194304,10GB,8,4s,"10.000 GB",6.819,0.116,"1.466 GB/s ","1.423 GB/s"
GPU,8,4194304,20GB,8,4s,"20.000 GB",11.756,0.005,"1.701 GB/s ","1.700 GB/s"
GPU,16,65536,1GB,16,4s,"1.000 GB",4.236,0.388,"241.762 MB/s ","213.869 MB/s"
GPU,16,65536,5GB,16,4s,"5.000 GB",5.680,0.507,"901.394 MB/s ","812.463 MB/s"
GPU,16,65536,10GB,16,4s,"10.000 GB",7.960,0.520,"1.256 GB/s ","1.166 GB/s"
GPU,16,65536,20GB,16,4s,"20.000 GB",11.132,0.516,"1.796 GB/s ","1.695 GB/s"
GPU,16,131072,1GB,16,4s,"1.000 GB",3.931,0.474,"260.485 MB/s ","226.919 MB/s"
GPU,16,131072,5GB,16,4s,"5.000 GB",6.216,0.500,"823.692 MB/s ","746.356 MB/s"
GPU,16,131072,10GB,16,4s,"10.000 GB",7.671,0.281,"1.303 GB/s ","1.237 GB/s"
GPU,16,131072,20GB,16,4s,"20.000 GB",11.400,0.317,"1.754 GB/s ","1.689 GB/s"
GPU,16,262144,1GB,16,4s,"1.000 GB",4.435,0.292,"230.866 MB/s ","210.412 MB/s"
GPU,16,262144,5GB,16,4s,"5.000 GB",5.354,0.154,"956.331 MB/s ","903.438 MB/s"
GPU,16,262144,10GB,16,4s,"10.000 GB",8.134,0.500,"1.229 GB/s ","1.140 GB/s"
GPU,16,262144,20GB,16,4s,"20.000 GB",11.656,0.320,"1.716 GB/s ","1.641 GB/s"
GPU,16,524288,1GB,16,4s,"1.000 GB",4.464,0.387,"229.393 MB/s ","205.705 MB/s"
GPU,16,524288,5GB,16,4s,"5.000 GB",5.994,0.656,"854.183 MB/s ","753.368 MB/s"
GPU,16,524288,10GB,16,4s,"10.000 GB",7.824,0.264,"1.277 GB/s ","1.220 GB/s"
GPU,16,524288,20GB,16,4s,"20.000 GB",12.432,0.287,"1.608 GB/s ","1.556 GB/s"
GPU,16,1048576,1GB,16,4s,"1.000 GB",4.560,0.191,"224.551 MB/s ","209.993 MB/s"
GPU,16,1048576,5GB,16,4s,"5.000 GB",5.494,0.285,"932.009 MB/s ","857.340 MB/s"
GPU,16,1048576,10GB,16,4s,"10.000 GB",7.624,0.492,"1.312 GB/s ","1.192 GB/s"
GPU,16,1048576,20GB,16,4s,"20.000 GB",11.264,0.380,"1.775 GB/s ","1.692 GB/s"
GPU,16,2097152,1GB,16,4s,"1.000 GB",4.204,0.324,"243.571 MB/s ","217.503 MB/s"
GPU,16,2097152,5GB,16,4s,"5.000 GB",5.620,0.456,"911.039 MB/s ","804.982 MB/s"
GPU,16,2097152,10GB,16,4s,"10.000 GB",8.228,0.272,"1.215 GB/s ","1.158 GB/s"
GPU,16,2097152,20GB,16,4s,"20.000 GB",12.532,0.387,"1.596 GB/s ","1.530 GB/s"
GPU,16,4194304,1GB,16,4s,"1.000 GB",3.876,0.175,"264.214 MB/s ","244.903 MB/s"
GPU,16,4194304,5GB,16,4s,"5.000 GB",5.792,0.312,"884.046 MB/s ","816.895 MB/s"
GPU,16,4194304,10GB,16,4s,"10.000 GB",7.075,0.252,"1.413 GB/s ","1.327 GB/s"
GPU,16,4194304,20GB,16,4s,"20.000 GB",12.793,0.335,"1.562 GB/s ","1.506 GB/s"
CPU,1,65536,1GB,1,4s,"1.000 GB",0.256,0.001,"3.911 GB/s ","3.892 GB/s"
CPU,1,65536,5GB,1,4s,"5.000 GB",1.234,0.001,"4.051 GB/s ","4.046 GB/s"
CPU,1,65536,10GB,1,4s,"10.000 GB",2.331,0.001,"4.290 GB/s ","4.286 GB/s"
CPU,1,65536,20GB,1,4s,"20.000 GB",4.856,0.001,"4.118 GB/s ","4.117 GB/s"
CPU,1,131072,1GB,1,4s,"1.000 GB",0.257,0.001,"3.894 GB/s ","3.874 GB/s"
CPU,1,131072,5GB,1,4s,"5.000 GB",1.207,0.001,"4.141 GB/s ","4.136 GB/s"
CPU,1,131072,10GB,1,4s,"10.000 GB",2.349,0.001,"4.256 GB/s ","4.254 GB/s"
CPU,1,131072,20GB,1,4s,"20.000 GB",4.692,0.001,"4.262 GB/s ","4.261 GB/s"
CPU,1,262144,1GB,1,4s,"1.000 GB",0.255,0.001,"3.919 GB/s ","3.902 GB/s"
CPU,1,262144,5GB,1,4s,"5.000 GB",1.210,0.001,"4.133 GB/s ","4.126 GB/s"
CPU,1,262144,10GB,1,4s,"10.000 GB",2.353,0.001,"4.250 GB/s ","4.247 GB/s"
CPU,1,262144,20GB,1,4s,"20.000 GB",4.651,0.001,"4.300 GB/s ","4.298 GB/s"
CPU,1,524288,1GB,1,4s,"1.000 GB",0.256,0.001,"3.909 GB/s ","3.891 GB/s"
CPU,1,524288,5GB,1,4s,"5.000 GB",1.212,0.001,"4.124 GB/s ","4.120 GB/s"
CPU,1,524288,10GB,1,4s,"10.000 GB",2.354,0.001,"4.248 GB/s ","4.246 GB/s"
CPU,1,524288,20GB,1,4s,"20.000 GB",4.663,0.001,"4.288 GB/s ","4.287 GB/s"
CPU,1,1048576,1GB,1,4s,"1.000 GB",0.255,0.001,"3.917 GB/s ","3.897 GB/s"
CPU,1,1048576,5GB,1,4s,"5.000 GB",1.213,0.001,"4.123 GB/s ","4.115 GB/s"
CPU,1,1048576,10GB,1,4s,"10.000 GB",2.355,0.001,"4.245 GB/s ","4.241 GB/s"
CPU,1,1048576,20GB,1,4s,"20.000 GB",4.502,0.001,"4.442 GB/s ","4.440 GB/s"
CPU,1,2097152,1GB,1,4s,"1.000 GB",0.255,0.001,"3.918 GB/s ","3.898 GB/s"
CPU,1,2097152,5GB,1,4s,"5.000 GB",1.212,0.001,"4.125 GB/s ","4.121 GB/s"
CPU,1,2097152,10GB,1,4s,"10.000 GB",2.354,0.001,"4.248 GB/s ","4.246 GB/s"
CPU,1,2097152,20GB,1,4s,"20.000 GB",4.609,0.001,"4.339 GB/s ","4.338 GB/s"
CPU,1,4194304,1GB,1,4s,"1.000 GB",0.256,0.001,"3.913 GB/s ","3.895 GB/s"
CPU,1,4194304,5GB,1,4s,"5.000 GB",1.212,0.001,"4.126 GB/s ","4.117 GB/s"
CPU,1,4194304,10GB,1,4s,"10.000 GB",2.353,0.001,"4.249 GB/s ","4.246 GB/s"
CPU,1,4194304,20GB,1,4s,"20.000 GB",4.604,0.001,"4.344 GB/s ","4.342 GB/s"
CPU,2,65536,1GB,2,4s,"1.000 GB",0.157,0.001,"6.366 GB/s ","6.307 GB/s"
CPU,2,65536,5GB,2,4s,"5.000 GB",0.683,0.001,"7.319 GB/s ","7.305 GB/s"
CPU,2,65536,10GB,2,4s,"10.000 GB",1.327,0.001,"7.537 GB/s ","7.522 GB/s"
CPU,2,65536,20GB,2,4s,"20.000 GB",2.562,0.001,"7.805 GB/s ","7.799 GB/s"
CPU,2,131072,1GB,2,4s,"1.000 GB",0.176,0.001,"5.676 GB/s ","5.630 GB/s"
CPU,2,131072,5GB,2,4s,"5.000 GB",0.697,0.001,"7.175 GB/s ","7.159 GB/s"
CPU,2,131072,10GB,2,4s,"10.000 GB",1.325,0.001,"7.544 GB/s ","7.531 GB/s"
CPU,2,131072,20GB,2,4s,"20.000 GB",2.539,0.001,"7.878 GB/s ","7.873 GB/s"
CPU,2,262144,1GB,2,4s,"1.000 GB",0.172,0.001,"5.818 GB/s ","5.769 GB/s"
CPU,2,262144,5GB,2,4s,"5.000 GB",0.697,0.001,"7.172 GB/s ","7.072 GB/s"
CPU,2,262144,10GB,2,4s,"10.000 GB",1.328,0.001,"7.530 GB/s ","7.522 GB/s"
CPU,2,262144,20GB,2,4s,"20.000 GB",2.570,0.001,"7.781 GB/s ","7.774 GB/s"
CPU,2,524288,1GB,2,4s,"1.000 GB",0.174,0.001,"5.760 GB/s ","5.713 GB/s"
CPU,2,524288,5GB,2,4s,"5.000 GB",0.696,0.001,"7.182 GB/s ","7.167 GB/s"
CPU,2,524288,10GB,2,4s,"10.000 GB",1.327,0.001,"7.537 GB/s ","7.529 GB/s"
CPU,2,524288,20GB,2,4s,"20.000 GB",2.561,0.001,"7.809 GB/s ","7.804 GB/s"
CPU,2,1048576,1GB,2,4s,"1.000 GB",0.173,0.001,"5.785 GB/s ","5.736 GB/s"
CPU,2,1048576,5GB,2,4s,"5.000 GB",0.697,0.001,"7.176 GB/s ","7.162 GB/s"
CPU,2,1048576,10GB,2,4s,"10.000 GB",1.325,0.001,"7.547 GB/s ","7.539 GB/s"
CPU,2,1048576,20GB,2,4s,"20.000 GB",2.560,0.001,"7.812 GB/s ","7.805 GB/s"
CPU,2,2097152,1GB,2,4s,"1.000 GB",0.173,0.001,"5.789 GB/s ","5.729 GB/s"
CPU,2,2097152,5GB,2,4s,"5.000 GB",0.697,0.001,"7.173 GB/s ","7.156 GB/s"
CPU,2,2097152,10GB,2,4s,"10.000 GB",1.327,0.001,"7.538 GB/s ","7.525 GB/s"
CPU,2,2097152,20GB,2,4s,"20.000 GB",2.567,0.001,"7.789 GB/s ","7.781 GB/s"
CPU,2,4194304,1GB,2,4s,"1.000 GB",0.173,0.001,"5.786 GB/s ","5.739 GB/s"
CPU,2,4194304,5GB,2,4s,"5.000 GB",0.700,0.001,"7.146 GB/s ","7.133 GB/s"
CPU,2,4194304,10GB,2,4s,"10.000 GB",1.310,0.001,"7.632 GB/s ","7.623 GB/s"
CPU,2,4194304,20GB,2,4s,"20.000 GB",2.567,0.001,"7.792 GB/s ","7.788 GB/s"
CPU,4,65536,1GB,4,4s,"1.000 GB",0.638,0.001,"1.567 GB/s ","1.544 GB/s"
CPU,4,65536,5GB,4,4s,"5.000 GB",2.423,0.001,"2.062 GB/s ","2.062 GB/s"
CPU,4,65536,10GB,4,4s,"10.000 GB",4.097,0.001,"2.440 GB/s ","2.439 GB/s"
CPU,4,65536,20GB,4,4s,"20.000 GB",9.485,0.001,"2.108 GB/s ","2.107 GB/s"
CPU,4,131072,1GB,4,4s,"1.000 GB",0.731,0.001,"1.367 GB/s ","1.337 GB/s"
CPU,4,131072,5GB,4,4s,"5.000 GB",2.298,0.001,"2.176 GB/s ","2.174 GB/s"
CPU,4,131072,10GB,4,4s,"10.000 GB",4.325,0.052,"2.312 GB/s ","2.276 GB/s"
