mode,io_threads,block_size,dataset_size,ranks,compute_time,write_size,raw_write_time,metadata_time,h5fcreate_time,h5fflush_time,h5fclose_time,completion_time,raw_write_rate,observed_write_rate
GPU,8,65536,5GB,8,4s,"5.000 GB",5.164,0.001,0.569,1.793,0.100,11.658,"991.538 MB/s ","668.599 MB/s"
GPU,8,65536,10GB,8,4s,"10.000 GB",10.327,0.001,1.320,0.937,0.224,16.888,"991.562 MB/s ","794.533 MB/s"
GPU,8,65536,20GB,8,4s,"20.000 GB",22.435,0.001,0.996,1.226,0.096,28.923,"912.846 MB/s ","821.718 MB/s"
GPU,8,131072,1GB,8,4s,"1.000 GB",1.571,0.001,0.180,0.558,0.152,6.468,"651.883 MB/s ","414.928 MB/s"
GPU,8,131072,5GB,8,4s,"5.000 GB",4.287,0.000,0.347,1.760,0.128,10.583,"1.166 GB/s ","777.796 MB/s"
GPU,8,131072,10GB,8,4s,"10.000 GB",10.769,0.001,0.572,2.110,0.080,17.607,"950.904 MB/s ","752.541 MB/s"
GPU,8,131072,20GB,8,4s,"20.000 GB",22.214,0.001,1.813,2.058,0.048,30.280,"921.954 MB/s ","779.308 MB/s"
GPU,8,262144,1GB,8,4s,"1.000 GB",2.023,0.001,0.443,0.529,0.088,7.091,"506.240 MB/s ","331.267 MB/s"
GPU,8,262144,5GB,8,4s,"5.000 GB",5.493,0.001,0.120,1.811,0.080,11.542,"932.051 MB/s ","678.843 MB/s"
GPU,8,262144,10GB,8,4s,"10.000 GB",11.159,0.001,0.383,0.854,0.164,16.667,"917.644 MB/s ","808.416 MB/s"
GPU,8,262144,20GB,8,4s,"20.000 GB",22.648,0.001,0.002,1.385,0.244,28.451,"904.257 MB/s ","837.578 MB/s"
GPU,8,524288,1GB,8,4s,"1.000 GB",1.531,0.001,0.329,0.302,0.080,6.249,"668.897 MB/s ","455.250 MB/s"
GPU,8,524288,5GB,8,4s,"5.000 GB",5.611,0.001,0.032,2.038,0.068,11.780,"912.525 MB/s ","658.100 MB/s"
GPU,8,524288,10GB,8,4s,"10.000 GB",10.709,0.001,0.217,1.945,0.172,17.133,"956.192 MB/s ","779.724 MB/s"
GPU,8,524288,20GB,8,4s,"20.000 GB",21.076,0.001,0.737,1.377,0.083,27.449,"971.740 MB/s ","873.393 MB/s"
GPU,8,1048576,1GB,8,4s,"1.000 GB",1.799,0.001,0.323,0.496,0.089,6.747,"569.139 MB/s ","372.770 MB/s"
GPU,8,1048576,5GB,8,4s,"5.000 GB",5.844,0.001,0.071,1.837,0.104,11.919,"876.121 MB/s ","646.538 MB/s"
GPU,8,1048576,10GB,8,4s,"10.000 GB",9.671,0.001,1.437,1.792,0.099,17.075,"1.033 GB/s ","783.185 MB/s"
GPU,8,1048576,20GB,8,4s,"20.000 GB",20.319,0.001,0.656,1.168,0.100,26.386,"1007.918 MB/s ","914.863 MB/s"
GPU,8,2097152,1GB,8,4s,"1.000 GB",1.531,0.001,0.173,0.416,0.186,6.319,"668.887 MB/s ","441.551 MB/s"
GPU,8,2097152,5GB,8,4s,"5.000 GB",5.281,0.001,0.184,1.992,0.076,11.571,"969.448 MB/s ","676.270 MB/s"
GPU,8,2097152,10GB,8,4s,"10.000 GB",11.351,0.001,1.401,1.677,0.140,18.677,"902.085 MB/s ","697.695 MB/s"
GPU,8,2097152,20GB,8,4s,"20.000 GB",21.063,0.001,0.840,1.136,0.070,27.304,"972.332 MB/s ","878.826 MB/s"
GPU,8,4194304,1GB,8,4s,"1.000 GB",1.733,0.000,0.248,0.430,0.080,6.498,"590.960 MB/s ","409.904 MB/s"
GPU,8,4194304,5GB,8,4s,"5.000 GB",5.652,0.001,0.636,1.944,0.108,12.376,"905.927 MB/s ","611.271 MB/s"
GPU,8,4194304,10GB,8,4s,"10.000 GB",10.178,0.001,1.071,1.306,0.080,16.699,"1006.080 MB/s ","806.392 MB/s"
GPU,8,4194304,20GB,8,4s,"20.000 GB",23.080,0.001,0.997,1.570,0.120,29.937,"887.357 MB/s ","789.604 MB/s"
GPU,16,65536,1GB,16,4s,"1.000 GB",4.899,0.001,0.721,0.965,0.496,11.125,"209.020 MB/s ","143.729 MB/s"
GPU,16,65536,5GB,16,4s,"5.000 GB",7.747,0.001,0.969,2.634,0.412,15.840,"660.878 MB/s ","432.428 MB/s"
